Trace,LRU IPC,LLC Total MPKI,LLC Load MPKI,LLC Latency,L2C Total MPKI,L2C Load MPKI,L2C Latency,L1D Total MPKI,L1D Load MPKI,L1D Latency,L1I Total MPKI,L1I Load MPKI,L1I Latency,RQ Misses,WQ Full cycles
srv_23.txt,0.638800,0.022620,0.018300,167.900000,6.088390,5.286570,20.340000,42.463240,25.228990,7.900000,72.455300,72.455300,8.601000,1337,37
srv_24.txt,0.614000,0.014690,0.014640,194.900000,5.833660,4.946120,19.830000,36.170560,19.652890,7.002000,77.374350,77.374350,8.635000,832,0
srv_25.txt,0.599600,0.441020,0.328200,161.100000,8.199350,7.286700,28.530000,39.919930,22.670040,9.438000,73.296420,73.296420,8.992000,29845,2796
srv_26.txt,0.576300,0.102670,0.058540,173.800000,12.088060,10.484740,21.190000,32.761770,16.820290,8.701000,66.464320,66.464320,10.380000,6294,3059
srv_27.txt,1.588000,1.743430,1.183400,201.300000,2.593670,1.747640,156.000000,7.782200,4.309310,52.370000,4.425740,4.425740,8.474000,134597,28697
srv_28.txt,1.560000,1.962940,1.278180,213.900000,2.819370,1.847530,169.600000,8.548620,4.541990,56.140000,4.583130,4.583130,8.640000,147894,38212
srv_29.txt,1.558000,2.046550,1.330220,218.700000,2.914870,1.909430,174.200000,8.731470,4.569150,58.400000,4.727640,4.727640,8.608000,149760,42575
srv_3.txt,0.819000,1.911560,1.378760,162.000000,17.259600,14.792020,38.030000,20.845820,14.806140,26.310000,34.577240,34.577240,13.640000,146375,90566
srv_30.txt,1.581000,1.859820,1.223850,205.900000,2.771500,1.835820,158.800000,8.237630,4.407150,54.050000,4.603050,4.603050,8.264000,139622,34803
srv_31.txt,1.585000,1.782500,1.188390,196.200000,2.673750,1.782550,151.500000,7.975010,4.334570,51.410000,4.564820,4.564820,8.349000,133837,30210
srv_32.txt,1.049000,0.113540,0.063860,186.700000,3.238910,2.542430,26.510000,12.706750,9.522630,12.710000,108.129890,108.129890,6.661000,8703,4376
srv_33.txt,0.528200,22.952190,7.718190,649.100000,31.981920,13.885730,486.600000,116.444230,35.466340,130.400000,68.062190,68.062190,7.511000,1442754,1458987
srv_34.txt,0.530600,22.817020,7.727970,641.200000,31.888000,13.863990,479.500000,116.103210,35.492550,128.600000,68.112860,68.112860,7.478000,1426109,1448741
srv_35.txt,0.530800,22.614030,7.549650,641.700000,31.813600,13.826300,476.900000,115.949900,35.503210,127.700000,67.985150,67.985150,7.635000,1419012,1443175
srv_36.txt,0.525800,22.972480,7.735280,645.900000,32.074980,13.872720,483.400000,116.778000,35.642140,129.700000,67.478670,67.478670,7.509000,1441705,1459620
srv_37.txt,0.527400,22.838920,7.698790,637.700000,32.022800,13.923980,475.500000,116.330520,35.564770,127.800000,67.552300,67.552300,7.782000,1424515,1445080
srv_38.txt,0.528100,22.996180,7.741460,650.200000,31.929580,13.896240,489.000000,116.638930,35.730640,130.600000,67.382990,67.382990,7.512000,1453197,1466060
srv_39.txt,0.528900,22.909680,7.778770,642.000000,31.850510,13.856780,482.500000,116.183820,35.563830,129.100000,68.028100,68.028100,7.513000,1434164,1448242
srv_4.txt,0.849900,1.951780,1.375650,167.400000,16.211550,13.837410,40.240000,21.299110,15.235290,26.600000,34.806360,34.806360,12.800000,148402,90733
srv_40.txt,1.040000,7.985070,3.045050,681.800000,9.299170,4.190310,606.300000,36.008420,12.870570,149.600000,9.054360,9.054360,16.620000,404230,395443
srv_41.txt,0.719800,2.152680,1.118840,238.600000,13.233020,10.327490,58.930000,20.881590,11.352060,35.430000,29.380660,29.380660,13.100000,163009,91868
srv_42.txt,0.576100,0.780800,0.409990,197.100000,18.333450,14.611340,28.400000,39.353720,19.987040,14.010000,51.738480,51.738480,11.780000,59933,29089
srv_43.txt,0.576800,0.772320,0.474680,181.200000,18.978880,14.892310,27.330000,39.385660,20.091470,13.760000,51.632710,51.632710,11.890000,58874,23768
srv_44.txt,0.488900,2.775310,1.284850,438.100000,16.936710,12.093980,91.780000,49.927630,24.937180,32.560000,75.751960,75.751960,9.862000,175982,119977
srv_45.txt,0.484200,1.934430,0.950080,349.900000,15.638510,11.200640,63.210000,50.094060,25.489510,22.180000,81.058250,81.058250,9.458000,131034,72912
srv_46.txt,0.797800,2.453600,1.277730,282.500000,11.392690,8.248720,80.970000,31.000810,12.170370,28.810000,30.560650,30.560650,12.060000,156408,97842
srv_47.txt,0.788400,2.304540,1.266880,232.000000,10.877470,7.922790,69.290000,30.458240,12.219160,24.310000,31.449230,31.449230,11.680000,148510,84560
srv_48.txt,0.729100,3.864590,1.988850,281.200000,12.436500,9.089450,107.600000,28.231430,11.252420,42.800000,26.182990,26.182990,16.040000,269212,153502
srv_49.txt,0.764800,3.117290,1.679750,202.000000,11.155870,8.312510,76.680000,26.241750,10.334880,29.320000,25.442740,25.442740,14.740000,230946,115544
srv_5.txt,0.852300,1.819550,1.301900,163.700000,16.455560,14.102910,38.180000,21.269550,15.243190,25.560000,35.077750,35.077750,12.720000,139058,88275
srv_50.txt,0.649100,2.816860,1.475330,296.900000,16.903870,13.548480,69.590000,22.779480,11.818290,47.390000,30.328930,30.328930,15.000000,193808,120844
srv_51.txt,0.698300,2.410630,1.326660,250.200000,14.593220,11.815320,61.460000,20.540370,10.867740,39.900000,28.081790,28.081790,14.730000,174230,99276
srv_52.txt,0.520600,2.279520,1.128190,330.900000,21.780390,17.199710,54.680000,35.517180,18.743980,31.680000,51.104310,51.104310,12.860000,169347,103905
srv_53.txt,0.652900,1.192970,0.606670,252.600000,15.585620,12.529450,39.330000,23.957780,12.894030,23.670000,38.769720,38.769720,12.810000,94275,51764
srv_54.txt,0.913000,1.832680,0.907410,259.800000,9.570850,7.256300,69.900000,15.280970,7.554050,40.890000,19.774040,19.774040,13.630000,138005,80929
srv_55.txt,0.731800,2.272190,1.151580,226.000000,13.283430,10.122960,58.790000,20.865640,10.520910,34.830000,27.419520,27.419520,13.580000,172527,92297
srv_56.txt,1.175000,0.895200,0.600920,148.200000,3.909400,2.924270,54.080000,11.693520,6.565710,20.020000,16.807870,16.807870,9.929000,57632,12604
srv_57.txt,1.145000,1.335610,0.871790,150.100000,3.818210,2.782710,72.780000,12.094560,6.795370,24.750000,16.443830,16.443830,10.000000,89888,20902
srv_58.txt,1.612000,0.001680,0.000790,114.600000,2.494320,2.042160,20.030000,7.129240,3.942250,8.824000,12.306450,12.306450,9.715000,84,0
srv_59.txt,1.473000,0.023910,0.021550,141.600000,3.020130,2.513820,21.080000,8.437060,4.679320,9.172000,14.334230,14.334230,9.876000,516,0
srv_6.txt,0.850600,1.886100,1.365840,162.100000,16.641630,14.080800,38.430000,21.308110,15.119800,25.610000,33.951340,33.951340,13.320000,144480,89800
srv_60.txt,0.680700,2.036650,1.309930,156.000000,23.368270,19.931140,33.660000,23.308030,16.026380,27.400000,34.157210,34.157210,16.130000,169833,88709
srv_61.txt,0.706000,1.982530,1.307800,160.300000,22.153340,18.947680,34.410000,22.101950,15.020660,27.810000,33.998260,33.998260,15.780000,164034,87808
srv_62.txt,0.810000,1.948250,1.379060,159.700000,17.390740,14.876660,37.970000,21.050910,14.903870,26.180000,34.646770,34.646770,13.700000,148288,87961
srv_63.txt,0.797000,2.069650,1.445440,160.200000,17.633230,15.066230,38.900000,21.037890,14.873150,27.340000,34.681980,34.681980,13.840000,159943,87710
srv_64.txt,0.853800,1.868730,1.303630,162.500000,16.279370,13.867680,38.730000,21.302080,15.224240,25.870000,34.998930,34.998930,12.560000,143365,90373
srv_65.txt,0.859200,1.838840,1.300280,160.900000,16.100440,13.748900,38.480000,21.179090,15.152630,25.390000,34.833930,34.833930,12.630000,140759,87929
srv_66.txt,0.838000,1.984770,1.422040,162.200000,16.329690,13.861610,39.810000,21.215970,15.030500,26.050000,34.154720,34.154720,13.340000,152009,92201
