Trace,IPC,LLC Total MPKI,LLC Load MPKI,LLC Latency,L2C Total MPKI,L2C Load MPKI,L2C Latency,L1D Total MPKI,L1D Load MPKI,L1D Latency,L1I Total MPKI,L1I Load MPKI,L1I Latency,RQ Misses,WQ Full cycles
compute_fp_43.txt,2.613000,0.684000,0.444650,205.700000,1.046820,0.698480,154.100000,9.512490,5.247630,16.280000,0.266130,0.266130,55.420000,31831.000000,16890.000000
compute_fp_57.txt,1.249000,10.798550,6.561760,317.700000,9.795450,7.551620,370.300000,61.197730,48.081130,62.380000,0.294120,0.294120,97.240000,583237.000000,354593.000000
compute_fp_60.txt,1.020000,16.402260,8.907390,187.000000,9.298890,9.026990,350.300000,100.727310,100.340350,24.940000,0.000730,0.000730,238.200000,804421.000000,866619.000000
compute_fp_64.txt,1.550000,4.399210,1.214430,634.500000,3.973020,1.606270,722.200000,34.147520,11.918060,86.630000,2.192200,2.192200,18.420000,138223.000000,179489.000000
compute_fp_94.txt,0.800400,18.472520,17.670020,267.400000,23.075630,21.383250,234.700000,96.213530,91.718030,44.970000,0.291650,0.291650,98.250000,627813.000000,41223.000000
compute_int_10.txt,1.892000,0.392170,0.294750,282.800000,0.453910,0.372760,265.000000,29.226040,27.247090,12.140000,0.035910,0.035910,32.770000,6004.000000,6975.000000
compute_int_106.txt,1.097000,6.470540,3.661430,323.500000,7.152070,5.221470,312.800000,20.376880,12.304200,106.700000,0.491010,0.491010,115.400000,225633.000000,151470.000000
compute_int_112.txt,1.446000,4.382770,1.200240,231.300000,4.111870,1.682450,266.000000,44.026230,5.207300,20.930000,0.002770,0.002770,67.890000,198209.000000,148961.000000
compute_int_114.txt,1.518000,1.959960,1.111110,118.400000,2.014140,1.239160,135.500000,18.922680,12.383330,14.970000,0.177010,0.177010,76.150000,56165.000000,41625.000000
compute_int_12.txt,,,,,,,,,,,,,,,
compute_int_13.txt,1.141000,2.276520,1.383060,131.700000,4.242650,3.167750,88.960000,10.100470,7.845940,43.740000,0.024300,0.024300,182.800000,159928.000000,89491.000000
compute_int_133.txt,1.991000,0.267950,0.232170,290.600000,0.383570,0.343100,223.500000,16.917100,15.302420,11.370000,0.031350,0.031350,43.490000,4513.000000,4508.000000
compute_int_135.txt,2.077000,2.782580,0.328220,102.800000,3.484200,1.656530,102.100000,108.454580,66.137460,5.415000,1.419780,1.419780,14.550000,127770.000000,131478.000000
compute_int_139.txt,1.208000,0.600600,0.366320,186.400000,1.956880,1.371510,76.730000,12.930590,5.598220,13.700000,8.799240,8.799240,8.664000,37136.000000,19905.000000
compute_int_142.txt,1.433000,6.293840,1.745970,258.200000,5.957160,2.445670,292.300000,47.944820,8.380880,30.190000,0.002280,0.002280,181.200000,320294.000000,214143.000000
compute_int_154.txt,1.533000,1.908920,1.048880,122.700000,1.955580,1.183180,140.100000,18.967980,12.043960,14.970000,0.177750,0.177750,73.490000,55912.000000,41733.000000
compute_int_168.txt,1.619000,3.221800,1.972950,295.100000,3.852500,2.799100,267.000000,30.406740,18.458410,37.310000,0.182870,0.182870,115.000000,117902.000000,77622.000000
compute_int_17.txt,0.849600,6.363880,4.114500,213.300000,9.817410,7.941080,157.900000,24.456140,19.085440,61.230000,22.155950,22.155950,13.700000,351524.000000,157744.000000
compute_int_173.txt,0.710300,0.120750,0.080730,164.500000,39.717750,19.145640,19.180000,59.640080,29.675130,27.880000,0.159880,0.159880,46.130000,7586.000000,2111.000000
compute_int_206.txt,1.534000,0.000000,0.000000,,1.418730,0.559600,19.060000,19.393990,12.771160,1.349000,0.017470,0.017470,20.220000,0.000000,0.000000
compute_int_208.txt,1.498000,3.167740,1.986030,285.900000,3.391010,2.592650,287.400000,20.701550,12.608620,47.270000,0.177270,0.177270,109.900000,111680.000000,70092.000000
compute_int_209.txt,0.927400,7.570870,0.441820,597.000000,4.982160,0.690270,926.700000,15.804170,2.785270,293.800000,5.841620,5.841620,11.880000,290231.000000,372921.000000
compute_int_210.txt,1.565000,2.349290,1.405560,323.900000,6.454820,4.745340,137.400000,29.260880,26.179530,32.340000,1.592620,1.592620,14.150000,136816.000000,67282.000000
compute_int_227.txt,1.011000,5.286250,1.419740,121.500000,5.049380,1.437820,146.100000,41.103100,7.438590,12.280000,0.017140,0.017140,158.100000,214253.000000,174989.000000
compute_int_230.txt,1.497000,1.402130,0.817740,295.100000,7.320410,4.625320,75.760000,32.305780,27.325590,21.940000,0.336490,0.336490,48.600000,91514.000000,54052.000000
compute_int_239.txt,1.681000,2.737750,0.836840,264.700000,3.406990,1.891160,231.600000,26.916560,15.591030,26.420000,0.029110,0.029110,82.860000,137567.000000,109104.000000
compute_int_244.txt,1.465000,5.198650,1.432880,131.300000,4.961240,1.451660,156.700000,40.332880,8.584230,12.840000,0.001540,0.001540,155.200000,234160.000000,157616.000000
compute_int_247.txt,1.675000,2.343580,0.754350,254.200000,3.445010,2.161600,191.800000,27.495490,17.460680,22.100000,0.023950,0.023950,97.750000,122436.000000,102031.000000
compute_int_255.txt,1.518000,2.915760,1.783890,313.300000,10.499330,7.459810,106.500000,41.335710,36.169760,30.490000,0.763370,0.763370,26.670000,192924.000000,86482.000000
compute_int_273.txt,0.399200,18.540510,8.605990,173.200000,18.704100,9.873110,190.500000,25.133830,15.564640,150.300000,0.015670,0.015670,155.600000,1464991.000000,398762.000000
compute_int_275.txt,1.070000,4.444310,2.547800,181.100000,4.736790,2.850240,190.100000,15.877490,8.952840,53.000000,0.478890,0.478890,83.230000,138630.000000,95551.000000
compute_int_280.txt,0.384200,35.342650,24.251590,283.700000,42.469800,35.570440,255.100000,52.232980,43.184100,212.300000,0.009990,0.009990,201.700000,1986107.000000,1028863.000000
compute_int_284.txt,1.542000,0.000000,0.000000,,2.304030,1.139290,19.150000,27.002210,17.427010,1.548000,0.027830,0.027830,19.620000,0.000000,0.000000
compute_int_286.txt,1.672000,0.520250,0.267450,107.400000,0.646240,0.378380,106.200000,2.303090,1.387250,34.510000,2.297820,2.297820,6.196000,25861.000000,3212.000000
compute_int_293.txt,1.497000,3.644760,1.676950,282.800000,7.139950,5.265320,163.700000,36.852210,20.809970,31.790000,0.047000,0.047000,111.700000,220431.000000,131589.000000
compute_int_296.txt,1.616000,2.238450,0.536710,92.140000,1.942990,0.568510,126.600000,22.328240,8.996680,10.300000,0.003010,0.003010,48.050000,82953.000000,76879.000000
compute_int_298.txt,0.981400,3.532550,1.814150,183.500000,6.604700,4.729760,117.300000,19.202680,12.278680,33.340000,17.453630,17.453630,18.740000,213269.000000,108086.000000
compute_int_309.txt,2.885000,0.154100,0.118230,192.500000,0.386380,0.335390,96.850000,3.711990,3.063560,10.290000,4.143990,4.143990,5.366000,9828.000000,4.000000
compute_int_316.txt,1.378000,1.200990,0.356620,177.900000,3.702600,2.419010,76.910000,12.060190,4.499770,22.170000,12.038920,12.038920,11.100000,55182.000000,51340.000000
compute_int_321.txt,1.473000,0.008740,0.008270,158.200000,0.022490,0.020880,81.590000,5.624790,5.029850,4.507000,0.029610,0.029610,7.855000,817.000000,0.000000
compute_int_351.txt,1.534000,0.000000,0.000000,,2.032510,0.871470,18.930000,25.938790,16.470160,1.287000,0.027040,0.027040,20.210000,0.000000,0.000000
compute_int_354.txt,,,,,,,,,,,,,,,
compute_int_36.txt,1.928000,2.009800,0.821750,317.100000,3.817110,2.387080,186.300000,25.938230,17.085820,25.920000,1.131870,1.131870,15.330000,101216.000000,79823.000000
compute_int_377.txt,0.936300,5.667760,3.405520,172.000000,7.599310,5.679240,147.900000,23.611800,15.625760,43.310000,7.263110,7.263110,30.790000,355377.000000,102910.000000
compute_int_380.txt,1.386000,2.377050,1.118550,210.800000,4.250410,3.078320,137.300000,16.514790,12.618760,35.590000,5.928790,5.928790,15.730000,128229.000000,97658.000000
compute_int_397.txt,1.534000,1.871200,1.324690,220.600000,3.424970,2.965070,140.000000,5.223380,4.622910,91.710000,0.163380,0.163380,77.340000,124339.000000,46643.000000
compute_int_401.txt,1.610000,3.424200,2.192330,279.200000,3.929770,2.879400,263.600000,30.545990,18.124990,37.550000,0.184240,0.184240,112.200000,120760.000000,75652.000000
compute_int_402.txt,1.073000,4.434970,2.516060,180.300000,4.731870,2.843180,189.200000,16.068740,9.086000,52.120000,0.487650,0.487650,80.550000,143939.000000,94977.000000
compute_int_403.txt,2.223000,1.234340,0.571700,237.300000,2.434800,1.444360,139.800000,16.807260,12.560640,19.480000,0.673440,0.673440,36.600000,55262.000000,33604.000000
compute_int_409.txt,1.092000,6.699020,3.939560,325.200000,7.348930,5.441830,316.700000,21.178010,12.992710,107.200000,0.473670,0.473670,115.200000,227604.000000,154736.000000
compute_int_411.txt,3.086000,0.141780,0.125840,225.400000,0.325320,0.295250,118.400000,3.627940,3.129280,11.390000,4.256220,4.256220,5.223000,11489.000000,1.000000
compute_int_415.txt,0.176700,33.250630,23.934560,181.000000,36.187580,25.916130,187.200000,46.992150,32.171750,153.600000,0.000440,0.000440,165.900000,3286211.000000,68.000000
compute_int_416.txt,1.180000,0.545350,0.368230,181.300000,2.273620,1.466750,62.910000,12.626260,5.978480,13.570000,8.873580,8.873580,8.789000,36689.000000,17070.000000
compute_int_436.txt,0.862800,14.070470,2.673170,195.000000,11.125550,3.460470,266.500000,74.571730,11.894930,34.760000,0.951600,0.951600,91.700000,702661.000000,559486.000000
compute_int_443.txt,1.498000,3.320090,2.177600,271.900000,3.456130,2.654590,281.600000,20.606310,12.319410,47.600000,0.179220,0.179220,101.700000,112195.000000,66396.000000
compute_int_448.txt,1.457000,5.198000,1.410700,134.800000,4.995320,1.430540,159.300000,40.262220,8.461200,13.270000,0.001720,0.001720,136.200000,237821.000000,159733.000000
compute_int_451.txt,1.522000,3.072350,1.920510,311.300000,3.399390,2.600270,301.700000,20.868780,12.951250,49.410000,0.176060,0.176060,110.300000,109493.000000,72629.000000
compute_int_456.txt,1.027000,6.243670,1.783870,240.400000,5.983920,2.435270,270.300000,46.819780,8.134420,29.180000,0.017090,0.017090,180.400000,283317.000000,213607.000000
compute_int_460.txt,1.290000,3.657540,1.943840,260.300000,5.779450,4.376550,184.200000,20.984800,14.380030,50.370000,0.034600,0.034600,78.070000,235798.000000,98996.000000
compute_int_480.txt,1.218000,2.409120,1.390450,125.600000,3.092400,2.236970,117.700000,13.686850,9.242180,24.860000,7.726030,7.726030,14.040000,145529.000000,45749.000000
compute_int_486.txt,1.206000,0.281260,0.218740,134.200000,0.634340,0.482350,78.670000,3.657430,2.008430,16.630000,8.887300,8.887300,7.608000,18121.000000,2705.000000
compute_int_490.txt,1.236000,0.129150,0.108630,142.200000,0.413890,0.304970,63.370000,2.489200,0.861230,14.070000,8.510590,8.510590,7.030000,9930.000000,670.000000
compute_int_495.txt,0.949800,3.436190,2.114520,214.500000,5.658530,4.473640,150.100000,24.390480,21.255580,39.040000,3.029340,3.029340,14.150000,210373.000000,66388.000000
compute_int_497.txt,1.542000,3.642450,1.012450,234.500000,3.401070,1.415980,270.600000,41.220330,4.850640,18.290000,0.001930,0.001930,130.300000,164459.000000,130830.000000
compute_int_507.txt,2.267000,0.885380,0.124500,418.600000,1.956600,0.981440,208.600000,18.981570,11.206220,27.020000,0.226570,0.226570,25.880000,40377.000000,47760.000000
compute_int_510.txt,3.121000,0.009300,0.006860,141.400000,0.320300,0.188390,23.190000,1.019290,0.449970,8.575000,0.200210,0.200210,17.110000,685.000000,22.000000
compute_int_511.txt,1.756000,0.994120,0.422770,216.100000,3.707380,3.119640,77.320000,15.383350,11.435260,20.620000,0.024040,0.024040,92.240000,58115.000000,47857.000000
compute_int_53.txt,2.357000,1.085850,0.520330,225.700000,2.270290,1.361250,127.300000,17.073470,13.103210,16.380000,0.713830,0.713830,34.210000,50822.000000,29105.000000
compute_int_532.txt,1.287000,3.115080,1.778710,170.100000,3.270740,2.048030,182.200000,28.912220,22.973180,18.260000,0.335330,0.335330,85.750000,99154.000000,67569.000000
compute_int_539.txt,0.271800,56.252360,35.315840,436.200000,41.036570,35.725900,616.300000,124.344090,124.175920,196.200000,0.151500,0.151500,125.900000,2406741.000000,2759671.000000
compute_int_540.txt,2.960000,0.053180,0.027460,149.800000,1.464870,1.141590,22.820000,13.581580,12.926770,11.300000,0.012470,0.012470,28.740000,3293.000000,3.000000
compute_int_556.txt,1.828000,2.185090,1.581540,237.500000,2.676980,2.246400,214.300000,10.498350,8.494050,56.410000,0.034890,0.034890,69.810000,62509.000000,33204.000000
compute_int_562.txt,1.073000,4.437740,2.505260,174.700000,4.717390,2.816300,184.500000,15.612510,8.749210,52.230000,0.493480,0.493480,82.480000,139147.000000,96601.000000
compute_int_569.txt,3.040000,0.366990,0.248960,163.300000,0.565600,0.404660,126.000000,3.422810,2.347190,20.330000,4.203760,4.203760,5.351000,18665.000000,511.000000
compute_int_585.txt,1.444000,4.379350,1.222110,237.800000,4.164500,1.723350,269.600000,43.777240,5.186110,21.730000,0.002340,0.002340,121.800000,197092.000000,153043.000000
compute_int_587.txt,2.549000,0.308760,0.181650,162.200000,1.708810,0.968870,48.540000,21.106940,11.982710,5.395000,0.916270,0.916270,21.370000,17717.000000,6765.000000
compute_int_589.txt,1.590000,1.288680,0.751610,112.000000,1.527080,1.226410,114.200000,6.486650,5.267420,24.060000,2.849520,2.849520,20.860000,60486.000000,41877.000000
compute_int_6.txt,1.626000,2.255100,0.531150,102.000000,1.952930,0.559600,138.200000,23.069580,8.978160,10.830000,0.002440,0.002440,42.740000,83315.000000,76935.000000
compute_int_604.txt,1.461000,0.012040,0.007530,133.200000,0.014920,0.010130,128.100000,6.158180,4.301080,4.049000,0.031330,0.031330,7.081000,805.000000,0.000000
compute_int_610.txt,2.189000,0.815420,0.144170,449.700000,1.859050,0.979280,216.600000,19.875630,12.388660,25.780000,0.823280,0.823280,10.630000,37747.000000,44866.000000
compute_int_613.txt,1.682000,2.134560,1.155730,161.400000,2.277780,1.352190,171.400000,29.949930,19.433730,16.900000,0.182200,0.182200,92.090000,71533.000000,55752.000000
compute_int_615.txt,1.070000,4.442600,2.552010,177.800000,4.747270,2.861790,186.600000,16.022960,9.064080,51.610000,0.483380,0.483380,83.370000,139002.000000,94533.000000
compute_int_622.txt,1.815000,0.688860,0.579770,145.300000,1.052700,0.902240,115.000000,3.481060,2.924700,37.830000,2.912200,2.912200,9.267000,46240.000000,1390.000000
compute_int_632.txt,2.565000,2.697010,1.117230,370.800000,2.442560,1.367220,429.500000,14.581570,7.831860,67.520000,3.433790,3.433790,7.771000,124372.000000,71367.000000
compute_int_638.txt,2.015000,0.009660,0.008850,104.300000,0.009660,0.008850,125.300000,0.004570,0.000920,42.720000,0.029740,0.029740,39.820000,316.000000,0.000000
compute_int_641.txt,2.317000,1.095030,0.484210,234.000000,2.341540,1.286230,128.800000,17.162740,12.236820,17.420000,0.698490,0.698490,35.050000,50529.000000,32604.000000
compute_int_643.txt,1.076000,4.372960,2.497050,175.200000,4.680000,2.807450,183.800000,15.739640,8.931100,51.140000,0.477570,0.477570,83.660000,137481.000000,94563.000000
compute_int_668.txt,0.154900,87.651950,30.661220,574.100000,66.640480,32.620410,773.200000,210.596130,38.025800,247.400000,0.046280,0.046280,232.400000,4666785.000000,4388047.000000
compute_int_670.txt,1.453000,4.353470,1.208790,241.900000,4.139030,1.711250,273.900000,44.252070,5.235350,21.810000,0.002910,0.002910,82.380000,195052.000000,150524.000000
compute_int_681.txt,1.073000,6.786500,2.683170,134.000000,5.918230,3.217300,173.500000,17.786740,9.057200,54.860000,3.195140,3.195140,14.550000,281179.000000,189779.000000
compute_int_688.txt,1.523000,1.952660,1.101250,122.300000,2.008120,1.235400,139.300000,18.820570,12.117880,15.320000,0.175900,0.175900,73.880000,57778.000000,41497.000000
compute_int_706.txt,1.006000,3.106440,1.879300,143.500000,5.327050,3.950860,102.900000,14.524370,8.711980,26.650000,16.093090,16.093090,20.090000,192826.000000,75117.000000
compute_int_711.txt,1.525000,3.609400,1.031620,231.000000,3.369820,1.375850,266.900000,40.070440,4.708370,18.400000,0.002020,0.002020,118.600000,163821.000000,128563.000000
compute_int_712.txt,1.970000,0.326530,0.280700,312.300000,0.442250,0.397920,251.200000,20.406350,18.731000,12.170000,0.027090,0.027090,29.320000,5974.000000,6139.000000
compute_int_741.txt,2.525000,2.703850,1.119930,341.100000,2.435180,1.373010,398.900000,17.049230,9.634490,51.070000,3.613770,3.613770,7.228000,107397.000000,69443.000000
